magnitude,mag_error,wavelength,filter_width,is_upper_limit,filter_name,units,aperture_size,image_path,exposure,date_obs,cat_mag,cat_mag_err,aper_mag,aper_mag_err
18.091,0.0225,4750.0,1150,False,g,7DT16,0.0,/lyman/data2/too/2025-10-13/T19154/g/difference/T19154_g_7DT16_20251014_000415_300s_diff.fits,300.0,2025-10-14T00:04:15.000,18.091,0.0225,18.09077541437228,0.0301906980348753
17.8274,0.0374,6250.0,1150,False,r,7DT16,0.0,/lyman/data2/too/2025-10-13/T19154/r/difference/T19154_r_7DT16_20251014_001113_300s_diff.fits,300.0,2025-10-14T00:11:13.000,17.8274,0.0374,17.783325136525185,0.0726280597205944
17.3029,0.0659,7700.0,1000,False,i,7DT01,0.0,/lyman/data2/too/2025-10-13/T19154/i/difference/T19154_i_7DT01_20251014_000422_300s_diff.fits,300.0,2025-10-14T00:04:22.000,17.3029,0.0659,17.3104935025503,0.1030508301990252
18.6177,0.1533,4010.5053853209242,250,False,m400,7DT13,0.0,/lyman/data2/too/2025-10-13/T19154/m400/difference/T19154_m400_7DT13_20251014_001108_300s_diff.fits,300.0,2025-10-14T00:11:08.000,18.6177,0.1533,18.528179776295588,0.1629067035751293
18.2558,0.0715,4254.79559478338,250,False,m425,7DT11,0.0,/lyman/data2/too/2025-10-13/T19154/m425/difference/T19154_m425_7DT11_20251014_001115_300s_diff.fits,300.0,2025-10-14T00:11:15.000,18.2558,0.0715,18.267886850361013,0.0848346439330572
18.0339,0.0583,4503.191633224136,250,False,m450,7DT03,0.0,/lyman/data2/too/2025-10-13/T19154/m450/difference/T19154_m450_7DT03_20251014_000410_300s_diff.fits,300.0,2025-10-14T00:04:10.000,18.0339,0.0583,18.034111058711865,0.0649362682553058
18.0455,0.0552,4751.852141242837,250,False,m475,7DT03,0.0,/lyman/data2/too/2025-10-13/T19154/m475/difference/T19154_m475_7DT03_20251014_001107_300s_diff.fits,300.0,2025-10-14T00:11:07.667,18.0455,0.0552,18.048221148871303,0.0649678867158057
18.2531,0.0623,4999.737358280949,250,False,m500,7DT14,0.0,/lyman/data2/too/2025-10-13/T19154/m500/difference/T19154_m500_7DT14_20251014_001152_300s_diff.fits,300.0,2025-10-14T00:11:52.000,18.2531,0.0623,18.211887756973415,0.0648605353403564
17.8869,0.0483,5248.6879280417215,250,False,m525,7DT02,0.0,/lyman/data2/too/2025-10-13/T19154/m525/difference/T19154_m525_7DT02_20251014_001109_300s_diff.fits,300.0,2025-10-14T00:11:09.000,17.8869,0.0483,17.893739890528646,0.0597332815645759
17.8523,0.07,5498.442401395265,250,False,m550,7DT04,0.0,/lyman/data2/too/2025-10-13/T19154/m550/difference/T19154_m550_7DT04_20251014_001114_300s_diff.fits,300.0,2025-10-14T00:11:14.667,17.8523,0.07,17.81708990756949,0.0708254405515771
17.8886,0.0701,5748.29362158276,250,False,m575,7DT06,0.0,/lyman/data2/too/2025-10-13/T19154/m575/difference/T19154_m575_7DT06_20251014_000432_300s_diff.fits,300.0,2025-10-14T00:04:32.000,17.8886,0.0701,17.857807532218363,0.0767689311680191
17.860400000000002,0.1003,5997.694409393808,250,False,m600,7DT14,0.0,/lyman/data2/too/2025-10-13/T19154/m600/difference/T19154_m600_7DT14_20251014_000428_300s_diff.fits,300.0,2025-10-14T00:04:28.000,17.860400000000002,0.1003,17.8924612429527,0.1300052232261914
